ticker,mkt_cap_m_yf,cash_m,debt_m,ev_m,operatingCashflow,name,region,primary_modality,size_band,revenue_m_at_t,has_revenue_at_t,net_cash_m,net_cash_to_mc,ev_cash_ratio,inv_ev_cash,peer_log_ev_resid,peer_log_ev_cash_resid,runway_months,cheapness_score,cheapness_raw,z_net_cash_to_mc,z_inv_ev_cash,z_peer_log_ev_resid,z_peer_log_ev_cash_resid,z_runway_months,bucket,ret_1y,ret_3y
ZLAB,11884.343937266418,442.116,0.0,11442.227937266418,-216055000.0,ZLAB,US,?,large,48.958,1,442.116,0.03720154872105574,25.88060132921319,0.038638978564660795,-0.8357846156265789,-0.324223279155208,24.55574737913957,12.5,-0.5292269758293775,-0.28304186998985736,-0.43915890351998493,-1.073779540317523,-0.6378813546839446,-0.14150455128129766,5.0,-0.5356140078708926,-0.7980641298713071
RCUS,1690.3771629857254,173.415,0.0,1516.9621629857254,111000000.0,RCUS,US,?,small,78.0,1,173.415,0.10258953078477222,8.747583328926133,0.11431728768941736,0.041751230863632305,0.14686299544446635,,58.333333333333336,-0.0007133838039333659,-0.013658423899693522,-0.2267916875697705,0.013450329366238948,0.23026207503340498,0.0,3.0,0.5589369278872307,-0.26425265581407786
VRDN,69.60217397809983,45.897,0.0,23.70517397809983,-29779000.0,VRDN,US,?,micro,1.05,1,45.897,0.659419058008754,0.5164863493932028,1.9361595929395932,1.8478828322815783,1.3756922359696069,18.495046845092176,98.95833333333334,2.1903591660975286,2.280351150859575,3.0,2.251171139855389,2.494815488976573,-0.42943504926736475,1.0,0.20182368029452702,0.32401213838932597
SLNO,2304.8743441419524,49.224,0.0,2255.6503441419522,-25224000.0,SLNO,US,?,mid,0.0,0,49.224,0.02135647877078734,45.82419844266928,0.021822531194977724,-0.13054579975508318,-0.5723437933364253,23.417697431018077,16.666666666666664,-0.48035279355103844,-0.3483199136307166,-0.4863489392300275,-0.20001841825896105,-1.095131344290547,-0.19557079105916245,5.0,-0.7875647691436196,0.39032811534590084
IMVT,2524.531742382263,100.571,0.0,2423.960742382263,-53357000.0,IMVT,US,?,mid,0.0,0,100.571,0.03983748681452372,24.101985088964643,0.041490358421052254,-0.16179960252792291,-0.2933017297520375,22.618438068107277,25.0,-0.3551679891309941,-0.27218241134183224,-0.43115740865677205,-0.23874056055291187,-0.5808974402749438,-0.23354183831518804,4.0,-0.8155444747548217,-0.08789776313710673
WVE,383.8881902777233,184.497,0.0,199.3911902777233,-115982000.0,WVE,US,?,small,20.077,1,184.497,0.48060087461019824,1.0807286312391164,0.9253016632431061,0.9230200134222222,1.0550344264996816,19.08885861599214,96.875,1.434610811216841,1.5436613655631486,2.048979217030419,1.1053051492573271,1.903889823151484,-0.4012243633994993,1.0,-0.6010164992929844,-0.3583227110331637
CRNX,465.6440986700058,93.087,0.0,372.5570986700058,-62027000.0,CRNX,US,?,small,0.071,1,93.087,0.19991018948995465,4.002246271445054,0.24985968683005086,0.6515331365211399,0.4864472749831822,18.008996082351235,85.41666666666666,0.4266466636255527,0.3872803050584864,0.15356514494424697,0.7689443692680303,0.8560664701356853,-0.4525262476158579,1.0,1.0134656653919691,1.5216160663914144
TECH,3052.6910719756165,146.625,0.0,2906.0660719756165,205217000.0,TECH,US,?,mid,738.691,1,146.625,0.04803139149783289,19.819717455929183,0.05045480603967158,-0.24057950480016776,-0.20834637533789646,,29.166666666666668,-0.304864452029543,-0.23842540874197707,-0.40600152442369075,-0.33634553386964317,-0.42433708874141524,0.0,4.0,0.6339820722608198,-0.017429952150317396
VKTX,412.20575057889937,29.117,0.0,383.08875057889935,-21777000.0,VKTX,US,?,small,0.0,0,29.117,0.07063705433295935,13.156875728230908,0.07600588624959684,0.6394265802519707,-0.030401688949770245,16.04463424714148,53.125,-0.033526774121811,-0.14529527743214735,-0.33430050690019836,0.7539448571142044,-0.0964109345093835,-0.5458487403309131,3.0,-0.18294852377825088,2.305506257915878
TGTX,7312.779034290722,553.439,29.895,6789.235034290722,-214507000.0,TGTX,US,?,mid,0.152,1,523.544,0.07159302879863091,12.267359246982455,0.08151713664421963,-0.6090948642899883,-0.0,30.96061200799974,32.29166666666667,-0.256557518982412,-0.14135688251905965,-0.3188349274462345,-0.7929205078459929,-0.04038504724174406,0.16277642280100194,4.0,-0.6347558663436274,-0.6716647486850038
