ticker,name,mkt_cap_m,revenue_m,stage_raw,subsector_raw,industry,region,exchange_hint,notes,source_sheet,log_mkt_cap,log_revenue,has_revenue,size_band,size_band_ord,rich_modalities,rich_therapeutic_areas,pipeline_filed,modality_source,combined_modalities,primary_modality,is_compound_modality,mod_Oncology,mod_Gene/Cell Therapy,mod_RNA/Antisense,mod_Neurology,mod_Immunology,mod_Rare Disease,mod_Metabolic,mod_Cardiovascular,mod_Ophthalmology,mod_Vaccines,mod_Dermatology,mod_AI/Platform,mod_Psychedelics/CNS,mod_Biosimilars,mod_General Biotech
FBIO,"Fortress Biotech, Inc.",103.67,62.3,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,2.0156530985354655,1.801403710017355,1,micro,1,"['CAR-T cell therapy', 'Gene therapy', 'Oncolytic virus']","['Oncology', 'Rare disease', 'Infectious disease']",2026-03-31,lexicon,"['CAR-T cell therapy', 'Gene therapy', 'Oncolytic virus', 'Oncology', 'Rare disease', 'Infectious disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TTRX,Turn Therapeutics Inc.,103.06,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,2.013090138125056,0.0,0,micro,1,"['Vaccine', 'Diagnostics/devices']","['Dermatology', 'Metabolic/Obesity']",2026-03-31,lexicon,"['Vaccine', 'Diagnostics/devices', 'Dermatology', 'Metabolic/Obesity', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AGEN,Agenus Inc.,100.66,106.83,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,2.0028569260611206,2.0327396052094935,1,micro,1,['Vaccine'],"['Rare disease', 'Oncology', 'Immunology/I&I']",2026-03-16,lexicon,"['Vaccine', 'Rare disease', 'Oncology', 'Immunology/I&I', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SEER,"Seer, Inc.",100.43,16.58,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,2.001863462692524,1.245018870737753,1,micro,1,['Diagnostics/devices'],"['Oncology', 'Neurology/CNS', 'Metabolic/Obesity']",2026-03-02,lexicon,"['Diagnostics/devices', 'Oncology', 'Neurology/CNS', 'Metabolic/Obesity', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BMEA,"Biomea Fusion, Inc.",98.28,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.9924651478080433,0.0,0,micro,1,['Small molecule'],"['Metabolic/Obesity', 'Rare disease', 'Oncology']",2026-03-24,lexicon,"['Small molecule', 'Metabolic/Obesity', 'Rare disease', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAVA,"Cassava Sciences, Inc.",98.07,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.9915361753000314,0.0,0,micro,1,[],[],,xlsx,['General Biotech'],General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DWTX,"Dogwood Therapeutics, Inc.",96.22,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.9832653525665453,0.0,0,micro,1,[],"['Rare disease', 'Oncology', 'Infectious disease']",2026-03-18,lexicon,"['Rare disease', 'Oncology', 'Infectious disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANIX,"Anixa Biosciences, Inc.",95.13,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.9783174967467512,0.0,0,micro,1,"['Vaccine', 'CAR-T cell therapy']",['Oncology'],2026-01-12,lexicon,"['Vaccine', 'CAR-T cell therapy', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VANI,"Vivani Medical, Inc.",93.43,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.9704863488476503,0.0,0,micro,1,[],['Metabolic/Obesity'],2026-03-26,lexicon,"['Metabolic/Obesity', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HURA,"TuHURA Biosciences, Inc.",91.08,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.9594230219431052,0.0,0,micro,1,"['Antibody-drug conjugate', 'Vaccine', 'Oncolytic virus']","['Oncology', 'Rare disease', 'Hematology']",2026-03-31,lexicon,"['Antibody-drug conjugate', 'Vaccine', 'Oncolytic virus', 'Oncology', 'Rare disease', 'Hematology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CGTX,"Cognition Therapeutics, Inc.",90.92,0.0,Pre-revenue,Neurology,Biotechnology,US,,,US Biotech,1.9586594270529332,0.0,0,micro,1,"['Small molecule', 'Antibody-drug conjugate', 'Monoclonal antibody']","['Neurology/CNS', 'Ophthalmology', 'Rare disease']",2026-03-26,lexicon,"['Small molecule', 'Antibody-drug conjugate', 'Monoclonal antibody', 'Neurology/CNS', 'Ophthalmology', 'Rare disease', 'Neurology']",Neurology,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MAIA,"MAIA Biotechnology, Inc.",90.34,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.9558800862253753,0.0,0,micro,1,['Small molecule'],"['Oncology', 'Rare disease', 'Hematology']",2026-03-23,lexicon,"['Small molecule', 'Oncology', 'Rare disease', 'Hematology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IBIO,"iBio, Inc.",90.16,0.3,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.95501390303805,0.11394335230683678,1,micro,1,"['Vaccine', 'Monoclonal antibody', 'Bispecific antibody']","['Oncology', 'Metabolic/Obesity']",2025-09-05,lexicon,"['Vaccine', 'Monoclonal antibody', 'Bispecific antibody', 'Oncology', 'Metabolic/Obesity', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KZIA,Kazia Therapeutics Limited,89.89,1.2,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,1.9537113804275554,0.3424226808222063,1,micro,1,[],[],,xlsx,['General Biotech'],General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PMVP,"PMV Pharmaceuticals, Inc.",87.27,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.9408649759667216,0.0,0,micro,1,"['Small molecule', 'Diagnostics/devices']","['Oncology', 'Rare disease']",2026-03-06,lexicon,"['Small molecule', 'Diagnostics/devices', 'Oncology', 'Rare disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PYXS,"Pyxis Oncology, Inc.",85.3,2.82,Has revenue,Oncology,Biotechnology,US,,,US Biotech,1.930949031167523,0.5820633629117087,1,micro,1,"['Antibody-drug conjugate', 'Monoclonal antibody', 'Vaccine']","['Oncology', 'Rare disease']",2026-03-23,lexicon,"['Antibody-drug conjugate', 'Monoclonal antibody', 'Vaccine', 'Oncology', 'Rare disease']",Oncology,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OKYO,OKYO Pharma Limited,85.27,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.9307962629833002,0.0,0,micro,1,[],[],,xlsx,['General Biotech'],General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VRCA,Verrica Pharmaceuticals Inc.,84.91,30.83,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,1.9289588408808298,1.502836638621003,1,micro,1,[],"['Oncology', 'Dermatology']",2026-03-11,lexicon,"['Oncology', 'Dermatology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MCRB,"Seres Therapeutics, Inc.",82.59,0.351,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.9169274661129927,0.13065534902203058,1,micro,1,"['Microbiome', 'CAR-T cell therapy']","['Rare disease', 'Oncology', 'Metabolic/Obesity']",2026-03-12,lexicon,"['Microbiome', 'CAR-T cell therapy', 'Rare disease', 'Oncology', 'Metabolic/Obesity', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PLRX,"Pliant Therapeutics, Inc.",81.73,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.9123814989188004,0.0,0,micro,1,['Small molecule'],"['Rare disease', 'Oncology']",2026-03-11,lexicon,"['Small molecule', 'Rare disease', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CSBR,"Champions Oncology, Inc.",81.51,58.42,Has revenue,Oncology,Biotechnology,US,,,US Biotech,1.9112108931375533,1.7739326474676451,1,micro,1,[],['Oncology'],2025-07-23,lexicon,['Oncology'],Oncology,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATYR,"aTyr Pharma, Inc.",80.79,0.19,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.907357608131173,0.07554696139253074,1,micro,1,[],"['Rare disease', 'Immunology/I&I']",2026-03-05,lexicon,"['Rare disease', 'Immunology/I&I', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PYPD,PolyPid Ltd.,79.96,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.9028727854460792,0.0,0,micro,1,[],[],,xlsx,['General Biotech'],General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANTX,"AN2 Therapeutics, Inc.",78.1,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.8926510338773004,0.0,0,micro,1,['Small molecule'],"['Oncology', 'Rare disease', 'Infectious disease']",2026-03-17,lexicon,"['Small molecule', 'Oncology', 'Rare disease', 'Infectious disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COEP,"Coeptis Therapeutics Holdings, Inc.",74.92,0.501,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.8745977687031998,0.17638069224327035,1,micro,1,"['Monoclonal antibody', 'CAR-T cell therapy']","['Oncology', 'Hematology']",2026-03-19,lexicon,"['Monoclonal antibody', 'CAR-T cell therapy', 'Oncology', 'Hematology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PTHS,Pelthos Therapeutics Inc.,74.81,7.41,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,1.8739596547433532,0.9247959957979122,1,micro,1,[],"['Neurology/CNS', 'Dermatology']",2026-03-19,lexicon,"['Neurology/CNS', 'Dermatology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ACET,"Adicet Bio, Inc.",73.67,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.8672906698548841,0.0,0,micro,1,"['CAR-T cell therapy', 'Gene editing', 'Bispecific antibody']","['Oncology', 'Immunology/I&I', 'Rare disease']",2026-03-12,lexicon,"['CAR-T cell therapy', 'Gene editing', 'Bispecific antibody', 'Oncology', 'Immunology/I&I', 'Rare disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GUTS,"Fractyl Health, Inc.",73.62,0.003,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,1.8669958131106479,0.001300933020418072,1,micro,1,"['Gene therapy', 'Diagnostics/devices']","['Metabolic/Obesity', 'Oncology']",2026-03-24,lexicon,"['Gene therapy', 'Diagnostics/devices', 'Metabolic/Obesity', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
